line_id,shift_name,competency,required_qty,scenario_note
LINE_A,Mon Shift 1,PACKING,1,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_B,Mon Shift 1,MIXING,2,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_A,Mon Shift 2,PACKING,1,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_B,Mon Shift 2,MIXING,2,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_A,Tue Shift 1,PACKING,1,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_B,Tue Shift 1,MIXING,2,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_A,Tue Shift 2,PACKING,1,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_B,Tue Shift 2,MIXING,2,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_A,Wed Shift 1,PACKING,1,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_B,Wed Shift 1,MIXING,2,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_A,Wed Shift 2,PACKING,1,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_B,Wed Shift 2,MIXING,2,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_A,Thu Shift 1,PACKING,1,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_B,Thu Shift 1,MIXING,2,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_A,Thu Shift 2,PACKING,1,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_B,Thu Shift 2,MIXING,2,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_A,Fri Shift 1,PACKING,1,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_B,Fri Shift 1,MIXING,2,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_A,Fri Shift 2,PACKING,1,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
LINE_B,Fri Shift 2,MIXING,2,"Demand is intentionally higher than available headcount in selected active line-shift-competency buckets, creating a moderate manpower shortage for demonstration."
